food_name,query,alternate_query_inbox,kroger_upc,product_grams,product_uri,product_local_price,product_categories,product_sold_by_unit
tomato sauce,tomato sauce,,1111081660.0,822.1355,/p/kroger-tomato-sauce/0001111081660?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.89,Canned & Packaged,29 oz
Brussels sprouts,Brussels sprouts,,3338370154.0,453.592,/p/brussels-sprouts/0003338370154?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.49,Produce,1 lb
sweet potato,sweet potato,,4816.0,453.592,/p/sweet-potato/0000000004816?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.69,Produce,1 lb
boneless skinless chicken breast,boneless skinless chicken breast,,28334900000.0,453.592,/p/heritage-farm-boneless-skinless-chicken-breasts/0028334900000?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.69,Meat & Seafood,1 lb
sweet paprika,sweet paprika,,,,,,,
milk chocolate chips,milk chocolate chips,,1111004748.0,325.95,/p/kroger-milk-chocolate-baking-chips/0001111004748?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.59,Baking Goods,11.5 oz
vanilla wafers,vanilla wafers,,1111000704.0,311.8445,/p/kroger-original-vanilla-wafer-cookies/0001111000704?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.69,Snacks,11 oz
lemons,lemons,,1111091188.0,907.184,/p/kroger-fresh-lemons-bag/0001111091188?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.99,Produce,2 lb
lemon pepper seasoning,lemon pepper seasoning,,1111011741.0,123.89,/p/smart-way-lemon-pepper/0001111011741?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.25,"Baking Goods, Baking Goods",4.37 oz
sharp cheddar,sharp cheddar,,1111058733.0,453.592,/p/kroger-sharp-cheddar-block-cheese/0001111058733?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.29,Dairy,16 oz
plain Greek yogurt,plain Greek yogurt,,1111010717.0,907.184,/p/kroger-plain-nonfat-greek-yogurt-tub/0001111010717?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.29,Dairy,32 oz
curry powder,curry powder,,1111068368.0,45.92619,/p/kroger-curry-powder/0001111068368?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.99,Baking Goods,1.62 oz
extra firm tofu,extra firm tofu,,1111082294.0,878.83,/p/simple-truth-organic-extra-firm-tofu-twin-pack/0001111082294?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.99,"Natural & Organic, Produce",2 ct / 15.5 oz
turmeric,turmeric,,1111068337.0,42.52425,/p/kroger-ground-turmeric/0001111068337?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.49,Baking Goods,1.5 oz
ground beef 15% fat,ground beef 15% fat,,,,,,,
russet potato,russet potato,,1111091754.0,4535.92,/p/kroger-russet-potatoes-big-deal-in-10-lb-bag/0001111091754?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.29,Produce,10 lb
cooked chicken,cooked chicken,,1111020791.0,453.592,/p/kroger-hardwood-smoked-pulled-chicken/0001111020791?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,8.79,Meat & Seafood,16 oz
plain yogurt,plain yogurt,,7527041052.0,1814.368,/p/mountain-high-plain-yogurt-tub/0007527041052?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,7.99,Dairy,64 oz
tahini,tahini,,7426500156.0,453.592,/p/ziyad-tahini-sesame-paste/0007426500156?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,11.99,International,16 oz
dry brown lentils,dry brown lentils,,,,,,,
evaporated milk,evaporated milk,,1111088301.0,360.0,/p/kroger-evaporated-milk/0001111088301?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.29,Baking Goods,12 fl oz
sweet potatoes,sweet potatoes,,4816.0,453.592,/p/sweet-potato/0000000004816?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.69,Produce,1 lb
medjool dates,medjool dates,,9792354401.0,907.184,/p/bard-valley-natural-delights-whole-fresh-medjool-dates/0009792354401?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,12.99,Produce,32 oz
chopped walnuts,chopped walnuts,,1111010695.0,226.796,/p/kroger-walnut-pieces/0001111010695?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,5.29,Baking Goods,8 oz
gorgonzola cheese,gorgonzola cheese,,28648120000.0,453.592,/p/ciresa-mountain-gorgonzola-cheese/0028648120000?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,21.49,Deli,1 lb
turnip,turnip,,4811.0,453.592,/p/turnip/0000000004811?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.49,Produce,1 lb
lemon pepper,lemon pepper,,1111000337.0,77.96,/p/kroger-lemon-pepper-seasoning/0001111000337?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.49,Baking Goods,2.75 oz
fresh dill,fresh dill,,1111001816.0,14.1748,/p/simple-truth-organic-baby-dill/0001111001816?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.49,"Natural & Organic, Produce",0.5 oz
luncheon meat,luncheon meat,,1111013903.0,198.4465,/p/kroger-original-luncheon-meat/0001111013903?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.49,Canned & Packaged,7 oz
frozen stir fry vegetables,frozen stir fry vegetables,,1111014210.0,453.592,/p/kroger-stir-fry-starters-frozen-vegetables/0001111014210?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.69,Frozen,16 oz
instant ramen,instant ramen,,4178990121.0,765.45,/p/maruchan-instant-lunch-chicken-flavor-ramen-noodle-soup/0004178990121?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,6.99,"International, Canned & Packaged",12 ct / 2.25 oz
grape leaves,grape leaves,,3727938697.0,240.97,/p/peloponnese-grape-leaves/0003727938697?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,10.49,Canned & Packaged,8.5 oz
fresh mint,fresh mint,,1111001818.0,14.17475,/p/simple-truth-organic-mint/0001111001818?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.49,"Natural & Organic, Produce",0.5 oz
old-fashioned rolled oats,old-fashioned rolled oats,,3997803375.0,907.184,/p/bob-s-red-mill-gluten-free-old-fashioned-rolled-oats/0003997803375?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,7.99,Breakfast,32 oz
shallot,shallot,,4662.0,453.592,/p/shallots/0000000004662?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.99,Produce,1 lb
lemongrass,lemongrass,,87520800067.0,113.398,/p/gourmet-garden-lemongrass-stir-in-paste/0087520800067?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.99,Produce,4 oz
fish sauce,fish sauce,,73762800100.0,199.92,/p/thai-kitchen-premium-fish-sauce/0073762800100?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.99,"International, Condiment & Sauces",6.76 fl oz
lime juice,lime juice,,1111072822.0,443.6025,/p/kroger-lime-juice/0001111072822?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.99,Beverages,15 fl oz
thai red chili pepper,thai red chili pepper,,,,,,,
rice vermicelli noodles,rice vermicelli noodles,,7065080084.0,249.4756,/p/a-taste-of-thai-vermicelli-rice-noodles/0007065080084?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.49,"Pasta, Sauces, Grain, International",8.8 oz
butter lettuce,butter lettuce,,1111080470.0,163.0,/p/simple-truth-organic-living-butter-lettuce/0001111080470?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.49,"Natural & Organic, Produce",1 ct
cucumber,cucumber,,4062.0,200.0,/p/cucumber/0000000004062?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,0.89,Produce,1 ct
butternut squash,butternut squash,,4759.0,453.592,/p/butternut-squash/0000000004759?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.29,Produce,1 lb
fire roasted diced tomatoes,fire roasted diced tomatoes,,1111009827.0,411.06775,/p/kroger-fired-roasted-diced-tomatoes/0001111009827?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.49,Canned & Packaged,14.5 oz
coconut milk,coconut milk,,1111090414.0,411.2172,/p/kroger-premium-coconut-milk/0001111090414?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.49,"International, Dairy",13.5 fl oz
dried sage,dried sage,,1111068294.0,17.57,/p/kroger-rubbed-sage/0001111068294?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.29,Baking Goods,0.62 oz
orecchiette pasta,orecchiette pasta,,2409407091.0,453.592,/p/de-cecco-orecchiette-pasta/0002409407091?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.19,"Pasta, Sauces, Grain",1 lb
shredded parmesan,shredded parmesan,,1111050195.0,170.097,/p/kroger-parmesan-shredded-cheese/0001111050195?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.49,Dairy,6 oz
goat cheese,goat cheese,,7127036096.0,113.398,/p/goat-plain-crumbled-cup-cel-4-oz/0007127036096?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,6.99,Dairy,4 oz
spaghetti,spaghetti,,1111085004.0,453.592,/p/kroger-spaghetti-pasta/0001111085004?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.33,"Pasta, Sauces, Grain",16 oz
salted butter,salted butter,,1111089301.0,453.592,/p/kroger-salted-butter-sticks/0001111089301?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.49,Dairy,16 oz
shredded cabbage,shredded cabbage,,1111062870.0,283.495,/p/kroger-angel-hair-coleslaw-cabbage/0001111062870?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.29,Produce,10 oz
wide egg noodles,wide egg noodles,,1111085127.0,453.592,/p/kroger-wide-egg-noodles/0001111085127?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.69,"Pasta, Sauces, Grain",16 oz
russet potatoes,russet potatoes,,1111091754.0,4535.92,/p/kroger-russet-potatoes-big-deal-in-10-lb-bag/0001111091754?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.29,Produce,10 lb
parsley,parsley,,4901.0,60.0,/p/parsley-italian/0000000004901?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,0.99,Produce,1 ct
creole mustard,creole mustard,,5440000040.0,226.796,/p/grey-poupon-country-dijon-coarse-ground-mustard/0005440000040?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.99,Condiment & Sauces,8 oz
canned salmon,canned salmon,,1111083301.0,418.16,/p/kroger-wild-caught-canned-alaskan-pink-salmon/0001111083301?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.99,Canned & Packaged,14.75 oz
breadcrumbs,breadcrumbs,,1111013526.0,425.2425,/p/kroger-plain-bread-crumbs/0001111013526?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.49,Baking Goods,15 oz
stone ground mustard,stone ground mustard,,4150099292.0,340.194,/p/french-s-stone-ground-dijon-mustard/0004150099292?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.49,Condiment & Sauces,12 oz
cashews,cashews,,1111014319.0,907.184,/p/kroger-salted-whole-cashews/0001111014319?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,13.99,"Snacks, Snacks",32 oz
dried fruit,dried fruit,,7102231251.0,907.184,/p/mariani-mixed-dried-fruit-value-pack/0007102231251?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,13.99,Snacks,32 oz
cilantro,cilantro,,4889.0,100.0,/p/cilantro/0000000004889?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,0.79,Produce,1 ct
black tea bags,black tea bags,,4100000287.0,200.0,/p/lipton-black-tea-bags/0004100000287?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,5.79,Beverages,100 ct
cinnamon sticks,cinnamon sticks,,1111068399.0,28.3495,/p/kroger-cinnamon-sticks/0001111068399?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.79,Baking Goods,1 oz
whole cloves,whole cloves,,1111001057.0,35.43687,/p/kroger-whole-cloves/0001111001057?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.99,Baking Goods,1.25 oz
ground cardamom,ground cardamom,,1111002369.0,56.98,/p/private-selection-ground-cardamom/0001111002369?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,6.29,Baking Goods,2.01 oz
high heat oil,high heat oil,,,,,,,
fresh sweet corn,fresh sweet corn,,1111018183.0,892.0,/p/fresh-sweet-corn-on-the-cob-4-count/0001111018183?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,5.99,"Produce, Produce, Produce",4 ct
ketchup,ketchup,,1111089232.0,2271.25,/p/kroger-original-tomato-ketchup/0001111089232?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.49,Condiment & Sauces,64 oz
yellow mustard,yellow mustard,,1111081240.0,566.99,/p/kroger-yellow-mustard/0001111081240?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.29,Condiment & Sauces,20 oz
quick cooking yellow grits,quick cooking yellow grits,,3000004170.0,680.388,/p/quaker-quick-5-minute-grits/0003000004170?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.29,Breakfast,24 oz
whole milk,whole milk,,1111050240.0,3899.0,/p/king-soopers-city-market-vitamin-d-whole-milk-gallon/0001111050240?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.79,Dairy,1 gal
medium cheddar,medium cheddar,,1111058751.0,907.184,/p/kroger-medium-cheddar-block-cheese-big-deal-/0001111058751?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,7.99,Dairy,32 oz
salsa,salsa,,1111066760.0,453.592,/p/kroger-traditional-medium-salsa/0001111066760?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.19,"International, Snacks, International",16 oz
all purpose flour,all purpose flour,,1111085403.0,4535.92,/p/kroger-bleached-all-purpose-enriched-flour/0001111085403?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.99,Baking Goods,10 lb
relish,relish,,1111009084.0,709.764,/p/kroger-sweet-pickle-relish/0001111009084?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.99,Canned & Packaged,24 fl oz
seasoning salt,seasoning salt,,1111000324.0,396.893,/p/kroger-seasoned-salt/0001111000324?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.79,Baking Goods,14 oz
romaine hearts,romaine hearts,,1111062732.0,255.1455,/p/kroger-hearts-of-romaine/0001111062732?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.79,Produce,9 oz
shredded cheddar,shredded cheddar,,1111059670.0,907.184,/p/kroger-mild-cheddar-shredded-cheese/0001111059670?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,7.99,Dairy,32 oz
dried rosemary,dried rosemary,,1111068413.0,21.26,/p/kroger-rosemary-leaves/0001111068413?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.29,Baking Goods,0.75 oz
frozen peas and carrots,frozen peas and carrots,,1111089741.0,340.194,/p/kroger-meal-ready-sides-frozen-peas-carrots/0001111089741?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.25,Frozen,12 oz
frozen corn,frozen corn,,1111086578.0,907.184,/p/kroger-traditional-favorites-frozen-corn-super-sweet/0001111086578?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.99,Frozen,32 oz
gnocchi,gnocchi,,1111084948.0,453.592,/p/private-selection-italian-gnocchi-with-potato/0001111084948?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.99,"Pasta, Sauces, Grain",16 oz
frozen chopped greens,frozen chopped greens,,1111089785.0,340.194,/p/kroger-recipe-beginnings-frozen-spinach-chopped/0001111089785?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.59,Frozen,12 oz
pasta sauce,pasta sauce,,1111013410.0,680.388,/p/kroger-classic-tomato-traditional-pasta-sauce/0001111013410?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.99,"Pasta, Sauces, Grain",24 oz
hickory bacon,hickory bacon,,26390250000.0,453.592,/p/private-selection-hickory-bacon/0026390250000?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,7.99,Meat & Seafood,1 lb
vintage cheddar,vintage cheddar,,76770701428.0,198.4465,/p/kerrygold-grader-s-select-vintage-irish-cheddar-cheese/0076770701428?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,6.99,Deli,7 oz
mild cheddar,mild cheddar,,1111058603.0,907.184,/p/kroger-mild-cheddar-block-cheese-big-deal-/0001111058603?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,7.99,Dairy,32 oz
french fried onions,french fried onions,,1111082354.0,170.097,/p/kroger-crispy-french-fried-onions/0001111082354?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.29,Condiment & Sauces,6 oz
pinto beans,pinto beans,,1111080302.0,4535.92,/p/kroger-pinto-beans/0001111080302?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,10.49,"Pasta, Sauces, Grain",10 lb
shredded cheddar cheese,shredded cheddar cheese,,1111059670.0,907.184,/p/kroger-mild-cheddar-shredded-cheese/0001111059670?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,7.99,Dairy,32 oz
sliced mushrooms,sliced mushrooms,,1111091489.0,453.592,/p/kroger-sliced-white-mushrooms/0001111091489?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.49,Produce,16 oz
rigatoni,rigatoni,,1111008996.0,453.592,/p/private-selection-italian-rigatoni/0001111008996?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.99,"Pasta, Sauces, Grain",16 oz
whole milk ricotta,whole milk ricotta,,1111048987.0,850.485,/p/kroger-whole-milk-ricotta-cheese/0001111048987?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,5.49,Dairy,30 oz
shredded monterey jack,shredded monterey jack,,1111058086.0,907.184,/p/kroger-monterey-jack-shredded-cheese/0001111058086?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,7.99,Dairy,32 oz
sour cream,sour cream,,1111046070.0,453.592,/p/kroger-original-sour-cream/0001111046070?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.29,Dairy,16 oz
scallions,scallions,,4659.0,453.592,/p/green-onions/0000000004659?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.39,Produce,1 lb
chili powder,chili powder,,1111072461.0,198.4465,/p/kroger-chili-powder/0001111072461?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,5.99,Baking Goods,7 oz
jalapenos,jalapenos,,4693.0,453.592,/p/fresh-jalapeno-peppers/0000000004693?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.79,"Produce, International",1 lb
kidney beans,kidney beans,,1111012146.0,439.41725,/p/kroger-dark-red-kidney-beans/0001111012146?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,0.89,Canned & Packaged,15.5 oz
frozen corn kernels,frozen corn kernels,,1111009159.0,1360.776,/p/simple-truth-organic-frozen-corn-whole-kernel-cut-big-deal-/0001111009159?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,8.49,"Frozen, Natural & Organic",48 oz
macaroni noodles,macaroni noodles,,,,,,,
bone-in chicken,bone-in chicken,,28334850000.0,453.592,/p/heritage-farm-bone-in-skin-on-whole-young-chicken/0028334850000?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.49,Meat & Seafood,1 lb
minced garlic,minced garlic,,7096900111.0,907.184,/p/spice-world-fat-free-minced-garlic-32-oz/0007096900111?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,6.99,Baking Goods,32 oz
black peppercorns,black peppercorns,,1111070022.0,532.9706,/p/kroger-whole-black-peppercorns/0001111070022?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,16.99,Baking Goods,18.8 oz
italian seasoning,italian seasoning,,1111000317.0,85.0485,/p/kroger-italian-seasoning/0001111000317?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.99,Baking Goods,3 oz
chopped parsley,chopped parsley,,87520800176.0,9.92,/p/gourmet-garden-organic-chopped-parsley/0087520800176?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.99,"Natural & Organic, Baking Goods",0.35 oz
grated parmesan cheese,grated parmesan cheese,,1111058033.0,226.796,/p/kroger-100-parmesan-grated-cheese/0001111058033?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.39,"Dairy, Pasta, Sauces, Grain",8 oz
chicken sausage,chicken sausage,,1111022160.0,453.592,/p/simple-truth-mild-italian-chicken-sausage/0001111022160?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,5.99,"Meat & Seafood, Natural & Organic",1 lb
chicken breasts,chicken breasts,,28334900000.0,453.592,/p/heritage-farm-boneless-skinless-chicken-breasts/0028334900000?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.69,Meat & Seafood,1 lb
cranberry sauce,cranberry sauce,,1111012789.0,396.893,/p/kroger-canned-jellied-cranberry-sauce/0001111012789?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.29,Canned & Packaged,14 oz
chicken breast,chicken breast,,28334900000.0,453.592,/p/heritage-farm-boneless-skinless-chicken-breasts/0028334900000?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.69,Meat & Seafood,1 lb
red potatoes,red potatoes,,4073.0,453.592,/p/red-potatoes/0000000004073?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.69,Produce,1 lb
kielbasa,kielbasa,,1111096788.0,396.893,/p/kroger-polska-kielbasa-sausage/0001111096788?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.49,Meat & Seafood,14 oz
frozen green beans,frozen green beans,,1111081914.0,907.184,/p/kroger-traditional-favorites-frozen-green-beans-cut/0001111081914?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.99,Frozen,32 oz
baby potatoes,baby potatoes,,1450000169.0,581.36475,/p/birds-eye-garlic-herb-baby-potatoes-family-size/0001450000169?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,6.99,Frozen,20.5 oz
pesto,pesto,,1111089609.0,283.495,/p/private-selection-basil-pesto/0001111089609?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,5.99,"Pasta, Sauces, Grain",10 oz
fresh mozzarella,fresh mozzarella,,1111004821.0,453.592,/p/kroger-fresh-mozzarella-sliced-cheese/0001111004821?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,8.49,Dairy,16 slices / 16 oz
caesar dressing,caesar dressing,,1111004867.0,473.176,/p/kroger-classic-caesar-salad-dressing/0001111004867?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.49,Condiment & Sauces,16 fl oz
pizza sauce,pizza sauce,,1111071295.0,396.893,/p/kroger-parlor-style-pizza-sauce/0001111071295?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.79,"Pasta, Sauces, Grain",14 oz
parmesan cheese,parmesan cheese,,1111058033.0,226.796,/p/kroger-100-parmesan-grated-cheese/0001111058033?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.39,"Dairy, Pasta, Sauces, Grain",8 oz
pepperoni slices,pepperoni slices,,1111064110.0,453.592,/p/kroger-sliced-pepperoni-big-deal-/0001111064110?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,7.49,Meat & Seafood,16 oz
pickled jalapenos,pickled jalapenos,,7639710515.0,1814.368,/p/la-costena-pickled-jalapeno-nacho-slices/0007639710515?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,6.99,"International, Canned & Packaged",64 oz
pineapple chunks,pineapple chunks,,71752410719.0,510.291,/p/pineapple-chunks/0071752410719?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,5.0,Produce,18 oz
rice vinegar,rice vinegar,,1111000517.0,375.58345,/p/kroger-seasoned-rice-vinegar/0001111000517?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.79,Baking Goods,12.7 fl oz
beef shoulder roast,beef shoulder roast,,24189700000.0,453.592,/p/beef-choice-boneless-cross-rib-shoulder-roast-1-roast-/0024189700000?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,8.49,"Meat & Seafood, Natural & Organic",1 lb
cumin,cumin,,1111068304.0,45.92619,/p/kroger-ground-cumin/0001111068304?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.99,Baking Goods,1.62 oz
shrimp,shrimp,,26944540000.0,453.592,/p/raw-white-shrimp/0026944540000?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,7.99,Meat & Seafood,1 lb
unsweetened coconut shreds,unsweetened coconut shreds,,,,,,,
